vacc_date,zipcode,count_given,dose_nbr,protocol
2020-12-28,37220.0,16.0,1.0,two-shot
2020-12-28,37221.0,138.0,1.0,two-shot
2020-12-28,37228.0,2.0,1.0,two-shot
2020-12-28,,11.0,1.0,two-shot
2020-12-29,37013.0,134.0,1.0,two-shot
2020-12-29,37013.0,1.0,2.0,two-shot
2020-12-29,37027.0,2.0,1.0,two-shot
2020-12-29,37072.0,86.0,1.0,two-shot
2020-12-29,37076.0,110.0,1.0,two-shot
2020-12-29,37080.0,19.0,1.0,two-shot
2020-12-29,37115.0,67.0,1.0,two-shot
2020-12-29,37138.0,53.0,1.0,two-shot
2020-12-29,37189.0,37.0,1.0,two-shot
2020-12-29,37201.0,4.0,1.0,two-shot
2020-12-29,37203.0,97.0,1.0,two-shot
2020-12-29,37204.0,50.0,1.0,two-shot
2020-12-29,37205.0,162.0,1.0,two-shot
2020-12-29,37206.0,67.0,1.0,two-shot
2020-12-29,37207.0,77.0,1.0,two-shot
2020-12-29,37208.0,49.0,1.0,two-shot
2020-12-29,37208.0,1.0,2.0,two-shot
2020-12-29,37209.0,136.0,1.0,two-shot
2020-12-29,37209.0,1.0,2.0,two-shot
2020-12-29,37210.0,17.0,1.0,two-shot
2020-12-29,37211.0,125.0,1.0,two-shot
2020-12-29,37211.0,1.0,2.0,two-shot
2020-12-29,37212.0,56.0,1.0,two-shot
2020-12-29,37212.0,1.0,2.0,two-shot
2020-12-29,37213.0,2.0,1.0,two-shot
2020-12-29,37214.0,80.0,1.0,two-shot
2020-12-29,37215.0,48.0,1.0,two-shot
2020-12-29,37216.0,37.0,1.0,two-shot
2020-12-29,37216.0,1.0,2.0,two-shot
2020-12-29,37217.0,52.0,1.0,two-shot
2020-12-29,37218.0,30.0,1.0,two-shot
2020-12-29,37219.0,3.0,1.0,two-shot
2020-12-29,37220.0,26.0,1.0,two-shot
2020-12-29,37221.0,158.0,1.0,two-shot
2020-12-29,37228.0,11.0,1.0,two-shot
2020-12-29,,15.0,1.0,two-shot
2020-12-30,37013.0,183.0,1.0,two-shot
2020-12-30,37072.0,115.0,1.0,two-shot
2020-12-30,37076.0,115.0,1.0,two-shot
2020-12-30,37080.0,27.0,1.0,two-shot
2020-12-30,37115.0,74.0,1.0,two-shot
2020-12-30,37138.0,77.0,1.0,two-shot
2020-12-30,37189.0,16.0,1.0,two-shot
2020-12-30,37201.0,7.0,1.0,two-shot
2020-12-30,37203.0,97.0,1.0,two-shot
2020-12-30,37203.0,2.0,2.0,two-shot
2020-12-30,37204.0,68.0,1.0,two-shot
2020-12-30,37204.0,1.0,2.0,two-shot
2020-12-30,37205.0,137.0,1.0,two-shot
2020-12-30,37205.0,1.0,2.0,two-shot
2020-12-30,37206.0,77.0,1.0,two-shot
2020-12-30,37207.0,123.0,1.0,two-shot
2020-12-30,37207.0,1.0,2.0,two-shot
2020-12-30,37208.0,70.0,1.0,two-shot
2020-12-30,37209.0,195.0,1.0,two-shot
2020-12-30,37210.0,120.0,1.0,two-shot
2020-12-30,37211.0,276.0,1.0,two-shot
2020-12-30,37212.0,82.0,1.0,two-shot
2020-12-30,37213.0,1.0,1.0,two-shot
2020-12-30,37214.0,92.0,1.0,two-shot
2020-12-30,37215.0,97.0,1.0,two-shot
2020-12-30,37215.0,1.0,2.0,two-shot
2020-12-30,37216.0,55.0,1.0,two-shot
2020-12-30,37217.0,70.0,1.0,two-shot
2020-12-30,37218.0,32.0,1.0,two-shot
2020-12-30,37219.0,7.0,1.0,two-shot
2020-12-30,37220.0,26.0,1.0,two-shot
2020-12-30,37221.0,224.0,1.0,two-shot
2020-12-30,37221.0,1.0,2.0,two-shot
2020-12-30,37228.0,7.0,1.0,two-shot
