count,VACC_DATE,DOSE_COUNT,zip
3,01/10/2021,2,37201
44,01/10/2021,1,37203
85,01/10/2021,2,37203
39,01/10/2021,1,37204
46,01/10/2021,2,37204
146,01/10/2021,1,37205
64,01/10/2021,2,37205
27,01/10/2021,1,37206
45,01/10/2021,2,37206
30,01/10/2021,1,37207
18,01/10/2021,2,37207
8,01/10/2021,1,37208
32,01/10/2021,2,37208
38,01/10/2021,1,37209
88,01/10/2021,2,37209
10,01/10/2021,1,37210
9,01/10/2021,2,37210
75,01/10/2021,1,37211
49,01/10/2021,2,37211
43,01/10/2021,1,37212
64,01/10/2021,2,37212
59,01/10/2021,1,37214
23,01/10/2021,2,37214
112,01/10/2021,1,37215
81,01/10/2021,2,37215
9,01/10/2021,1,37216
13,01/10/2021,2,37216
32,01/10/2021,1,37217
7,01/10/2021,2,37217
12,01/10/2021,1,37218
12,01/10/2021,2,37218
1,01/10/2021,1,37219
4,01/10/2021,2,37219
25,01/10/2021,1,37220
15,01/10/2021,2,37220
125,01/10/2021,1,37221
94,01/10/2021,2,37221
2,01/10/2021,1,37228
2,01/10/2021,2,37228
8,01/11/2021,1,
3,01/11/2021,2,
66,01/11/2021,1,37013
72,01/11/2021,2,37013
1,01/11/2021,1,37027
44,01/11/2021,1,37072
25,01/11/2021,2,37072
64,01/11/2021,1,37076
41,01/11/2021,2,37076
6,01/11/2021,1,37080
4,01/11/2021,2,37080
55,01/11/2021,1,37115
35,01/11/2021,2,37115
34,01/11/2021,1,37138
27,01/11/2021,2,37138
2,01/11/2021,1,37189
4,01/11/2021,2,37189
3,01/11/2021,1,37201
2,01/11/2021,2,37201
72,01/11/2021,1,37203
80,01/11/2021,2,37203
43,01/11/2021,1,37204
39,01/11/2021,2,37204
108,01/11/2021,1,37205
119,01/11/2021,2,37205
34,01/11/2021,1,37206
35,01/11/2021,2,37206
47,01/11/2021,1,37207
18,01/11/2021,2,37207
81,01/11/2021,1,37208
26,01/11/2021,2,37208
87,01/11/2021,1,37209
86,01/11/2021,2,37209
12,01/11/2021,1,37210
13,01/11/2021,2,37210
76,01/11/2021,1,37211
65,01/11/2021,2,37211
