address,vicinity,name,type
"621 Berry Rd, Nashville","621 Berry Road, Nashville",Imij,"['beauty_salon', 'hair_care', 'point_of_interest', 'establishment']"
"631 Burnett Rd, Old Hickory","631 Burnett Road, Old Hickory",AFC (Automotive Finance Corp.),"['finance', 'point_of_interest', 'establishment']"
"631 Burnett Rd, Old Hickory","631 Burnett Road, Old Hickory",ADESA Nashville,"['car_dealer', 'point_of_interest', 'store', 'establishment']"
"1501 Hillside Ave, Nashville","1501 Hillside Avenue, Nashville",Park At Hillside,"['point_of_interest', 'establishment']"
"161 BELLE FOREST CIR, Nashville","161 Belle Forest Circle #212, Nashville",Healing Path Counseling LLC- Adult Individual and Couples Therapy,"['health', 'point_of_interest', 'establishment']"
"161 BELLE FOREST CIR, Nashville","161 Belle Forest Circle #210b, Nashville","Jennifer A. Salas MA, LPC, MHSP","['doctor', 'health', 'point_of_interest', 'establishment']"
"161 BELLE FOREST CIR, Nashville","161 Belle Forest Circle #202, Nashville",Glad Financial,"['point_of_interest', 'establishment']"
"161 BELLE FOREST CIR, Nashville","161 Belle Forest Circle, Nashville",Pet Stop Pet Fence Systems,"['general_contractor', 'point_of_interest', 'establishment']"
"161 BELLE FOREST CIR, Nashville","161 High Forrest Court #209, Nashville",Angiology Corporation of America,"['point_of_interest', 'establishment']"
"928 6th Ave S, Nashville","928 6th Avenue South, Nashville",B N T C C,"['cafe', 'food', 'point_of_interest', 'establishment']"
"928 6th Ave S, Nashville","928 6th Avenue South, Nashville",Pollock Printing,"['point_of_interest', 'establishment']"
"928 6th Ave S, Nashville","928 6th Avenue South #105, Nashville",ink on paper,"['point_of_interest', 'store', 'establishment']"
"3529 West End Ave, Nashville","3529 West End Avenue, Nashville",West End Middle School,"['secondary_school', 'school', 'point_of_interest', 'establishment']"
"3529 West End Ave, Nashville","3529 West End Avenue, Nashville",Nashville Chinese School,"['point_of_interest', 'establishment']"
"403 Ewing Dr, Nashville","403 Ewing Drive, Nashville",Simply Hair Studio,"['beauty_salon', 'point_of_interest', 'establishment']"
"403 Ewing Dr, Nashville","403 Ewing Drive Ste. C, Nashville",Bellissimo,"['beauty_salon', 'point_of_interest', 'establishment']"
"22 Century Blvd, Nashville","22 Century Boulevard, Nashville","Turf Pros Solution LLC | Artificial Turf & Fake Grass Supplier in Nashville, TN","['general_contractor', 'point_of_interest', 'establishment']"
"22 Century Blvd, Nashville","22 Century Boulevard • Suite 420 •, Nashville",designWorks,"['point_of_interest', 'establishment']"
"22 Century Blvd, Nashville","22 Century Boulevard, Nashville",FedEx Drop Box,"['point_of_interest', 'establishment']"
"22 Century Blvd, Nashville","22 Century Boulevard Suite 450, Nashville",McMichael & Gray PC,"['lawyer', 'point_of_interest', 'establishment']"
"22 Century Blvd, Nashville","22 Century Boulevard #455, Nashville",SUMMIT CAPITAL SOLUTIONS,"['finance', 'point_of_interest', 'establishment']"
"4066 Nolensville Pike, Nashville","4066 Nolensville Pike, Nashville",Regions Mortgage,"['finance', 'point_of_interest', 'establishment']"
"4066 Nolensville Pike, Nashville","4066 Nolensville Pike, Nashville",VIP Clothing and Footwear,"['shoe_store', 'point_of_interest', 'clothing_store', 'store', 'establishment']"
"5020 Linbar Dr, Nashville","5020 Linbar Drive, Nashville",Cook's Pest Control,"['home_goods_store', 'point_of_interest', 'store', 'establishment']"
"693 Vernon Ave, Nashville","693 Vernon Avenue, Nashville",2Aves Townhomes,"['point_of_interest', 'establishment']"
"525 Fairground Ct, Nashville","525 Fairground Court, Nashville",Smith Turf & Irrigation,"['general_contractor', 'food', 'point_of_interest', 'store', 'establishment']"
"3664a Central Pike, Hermitage","3664A Central Pike, Hermitage",Iron House Strength and Conditioning,"['gym', 'health', 'point_of_interest', 'establishment']"
"3201 Gallatin Pike, Nashville","3201 Gallatin Pike, Nashville",Plasma Biological Services,"['health', 'point_of_interest', 'establishment']"
"621 McPherson Dr, Nashville","621 McPherson Drive, Nashville",Reese Smith Jr Baseball Fields,"['point_of_interest', 'establishment']"
"621 McPherson Dr, Nashville","621 McPherson Drive, Nashville","Bellevue Sports Athletic Association, Inc.","['point_of_interest', 'establishment']"
"1860 Air Ln Dr, Nashville","1860 Air Lane Drive, Nashville",Nashville Tempered Glass,"['car_repair', 'point_of_interest', 'establishment']"
"1074 Murfreesboro Pike, Nashville","1074 Murfreesboro Pike, Nashville",Wash Tub Coin Laundry,"['laundry', 'point_of_interest', 'store', 'establishment']"
"1224 Northgate Business Pkwy, Madison","1224 Northgate Business Parkway, Madison",H & T Carpet,"['home_goods_store', 'point_of_interest', 'store', 'establishment']"
"2239 Gallatin Pike N, Madison","2239 Gallatin Pike North, Madison",Mister Car Wash,"['car_wash', 'point_of_interest', 'establishment']"
"453 Allied Dr, Nashville","453 Allied Drive, Nashville",United Record Pressing,"['electronics_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']"
"801 5th Ave S, Nashville","801 5th Avenue South Suite 201, Nashville",Richards and Colburn Attorneys at Law,"['point_of_interest', 'establishment']"
"801 5th Ave S, Nashville","801 5th Avenue South #101, Nashville",BOOTHCAMP GYM,"['gym', 'health', 'point_of_interest', 'establishment']"
"801 5th Ave S, Nashville","801 5th Avenue South, Nashville",EntertainmentOne,"['point_of_interest', 'establishment']"
"801 5th Ave S, Nashville","801 5th Avenue South #201, Nashville",Marcus & Colvin LLP,"['lawyer', 'point_of_interest', 'establishment']"
"801 5th Ave S, Nashville","801 5th Avenue South, Nashville",Precision Field Services,"['finance', 'real_estate_agency', 'general_contractor', 'point_of_interest', 'establishment']"
"105 Gallatin Pike N, Madison","105 Gallatin Pike North, Madison",The Great Escape,"['movie_rental', 'book_store', 'electronics_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']"
"2910 Clarksville Hwy, Nashville","2910 Clarksville Highway, Nashville",KFC,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"1 Music Square W, Nashville","1 Music Square West, Nashville",Funny Library Coffee Shop,"['cafe', 'food', 'point_of_interest', 'establishment']"
"1 Music Square W, Nashville","1 Music Square West, Nashville",Commons Club,"['bar', 'point_of_interest', 'establishment']"
"1 Music Square W, Nashville","1 Music Square West, Nashville",The Pool Club,"['bar', 'point_of_interest', 'establishment']"
"1 Music Square W, Nashville","1 Music Square West, Nashville",Virgin Hotels Nashville,"['lodging', 'point_of_interest', 'establishment']"
"5110 Ashland City Hwy, Nashville","5110 Ashland City Highway, Nashville",Highway 12 Motorsports,"['point_of_interest', 'store', 'establishment']"
"4041 Nolensville Rd, Nashville","4041 Nolensville Pike, Nashville",McDonald's,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
"1420 3rd Ave S, Nashville","1420 3rd Avenue South, Nashville",Saint Elle,"['point_of_interest', 'establishment']"
"1420 3rd Ave S, Nashville","1420 3rd Avenue South, Nashville",Chestnut Hill,"['point_of_interest', 'establishment']"
"1420 3rd Ave S, Nashville","1420 3rd Avenue South, Nashville",Roof MD Nashville,"['roofing_contractor', 'point_of_interest', 'establishment']"
